ID,Date / Time,Country,City,State,Shape,Summary,lat,lng,Date,Time
154,12/02/2016 22:00,USA,Philadelphia,PA,Light,Lights in the sky in Philly!!! ((NUFORC Note: Advertising lights. PD)),39.9523993,-75.1635898,12/02/2016,22:00
548,11/05/2016 17:15,USA,Philadelphia,PA,Other,"4 Bright White Cigar/Long Disc Shape - Traveling Slanted in sky - 
Dissapeared & Reappeared 3 jets chasing them -Witnessed by 2 in car",39.9523993,-75.1635898,11/05/2016,17:15
719,10/22/16 23:38,USA,Philadelphia,PA,Other,"Using my binoculars I witnessed a cigar shaped, rusty orange colored object 
fly from my south to east .",39.9523993,-75.1635898,10/22/16,23:38
842,10/15/16 23:15,USA,Philadelphia,PA,Sphere,"A single orange light traveled in a slow, erratic, yet seemingly controlled 
pattern across the sky.",39.9523993,-75.1635898,10/15/16,23:15
1183,9/24/16 19:30,USA,Philadelphia,PA,Light,"Outside about 7;30 pm on sat 9/24/16 cleaning and doing maintenance work at 
my auto repair shop in phila when I look up, its now dusk,",39.9523993,-75.1635898,09/24/16,19:30
1733,8/22/16 22:26,USA,Philadelphia,PA,Light,"Flash of light falls from sky and disappears when it hits the ground. 
((anonymous report))",39.9523993,-75.1635898,08/22/16,22:26
2743,07/01/2016 19:30,USA,Philadelphia,PA,Light,Bright white light disappears against bright blue sky,39.9523993,-75.1635898,07/01/2016,19:30
3101,06/03/2016 22:30,USA,Philadelphia,PA,Light,Bright red/orange non pulsing lights observed over metropolitan area.,39.9523993,-75.1635898,06/03/2016,22:30
3422,05/07/2016 21:00,USA,Philadelphia,MS,Fireball,"Wife and I were on Hwy 15 North 5-7 mi. outside of Philadelphia, MS, when 
we noticed a hovering group of 5-7 fireballs.",32.7703841,-89.1153487,05/07/2016,21:00
3475,05/03/2016 20:39,USA,Philadelphia,PA,Circle,"Round, white, lights in night sky above Philadelphia, PA, May 3, 2016.",39.9523993,-75.1635898,05/03/2016,20:39
3496,4/30/16 22:00,USA,Philadelphia,PA,Light,"Barbecuing on the deck Saturday night and was shocked seeing red flair like 
objects traveling at about 30 mph in no certain formation.",39.9523993,-75.1635898,04/30/16,22:00
3497,4/30/16 21:30,USA,Philadelphia,PA,Fireball,Orange orbs in groups of four or five flying in triangle or line.,39.9523993,-75.1635898,04/30/16,21:30
3958,3/22/16 21:29,USA,Philadelphia,PA,Other,Bright white object by Phila Airport High Up Across Sky,39.9523993,-75.1635898,03/22/16,21:29
4386,2/17/16 22:30,USA,Philadelphia,PA,Light,"4 orange lights seen moving W to E over Philadelphia. Two lights moving 
together at some distance suddenly got close to each othe",39.9523993,-75.1635898,02/17/16,22:30
4421,2/15/16 09:30,USA,Philadelphia,PA,Other,"((HOAX??)) One or two bright green circles flashing darted through the sky, 
it scared the hell out of me. I live in the NW Phila..",39.9523993,-75.1635898,02/15/16,09:30
4646,1/31/16 20:00,USA,Philadelphia,PA,Other,"Eight fire ball shapes flying west , north, and straight up, but calm 
manner. They were focused.",39.9523993,-75.1635898,01/31/16,20:00
4836,1/14/16 14:45,USA,Philadelphia,PA,Other,"Flashing red/ green light, circling in sky. NE Philly. ((NUFORC Note: We 
suspect the time is wrong, but will check. PD))",39.9523993,-75.1635898,01/14/16,14:45
4930,01/05/2016 22:40,USA,Philadelphia,PA,Other,"Dark half oval flying over house, then disappearing into the dark sky.",39.9523993,-75.1635898,01/05/2016,22:40
8,12/19/16 19:02,USA,Phoenix,AZ,Circle,"Bright light in the night sky. Disappears within about every 30 min returns 
in intervals. ((NUFORC Note: Venus?? PD))",33.4485866,-112.0773455,12/19/16,19:02
95,12/09/2016 22:00,USA,Phoenix,AZ,Other,"We were looking towards east and seen in the sky a object that was spinning 
or lights were spinning. ((NUFORC Note: Star? PD))",33.4485866,-112.0773455,12/09/2016,22:00
360,11/15/16 20:00,USA,Phoenix,AZ,Other,"2 fast low flying planes follow point of light in sky over east valley in 
Phoenix",33.4485866,-112.0773455,11/15/16,20:00
428,11/11/2016 18:45,USA,Phoenix,AZ,Light,Light follows Southwest Airlines flight for 60 minutes.,33.4485866,-112.0773455,11/11/2016,18:45
456,11/10/2016 19:15,USA,Phoenix,AZ,Other,"White/orange circular lights in rectangle formation Phoenix, Arizona.",33.4485866,-112.0773455,11/10/2016,19:15
