Country Name,Country Code,Indicator Name,Indicator Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,latitude,longitude,world_country_and_usa_states_latitude_and_longitude_values.country
Aruba,ABW,"International tourism, number of arrivals",ST.INT.ARVL,912000,957000,947000,906000,972000,1211000,1178000,1225000,1184000,1304000,1286000,1285000,1254000,1383000,1420000,1394000,1469000,1481000,1667000,1739000,1832000,1758000,1863000,1897000,1951000,,12.52111,-69.968338,Aruba
Andorra,AND,"International tourism, number of arrivals",ST.INT.ARVL,,,,,9422000,10991000,11351000,11507000,11601000,11668000,11049000,10737000,10743000,10194000,9112000,8551000,7983000,7900000,7676000,7797000,7850000,8025000,8152000,8328000,8235000,,42.546245,1.601554,Andorra
United Arab Emirates,ARE,"International tourism, number of arrivals",ST.INT.ARVL,2315000,2572000,2476000,2991000,3393000,3907000,4134000,5445000,5871000,6195000,7126000,,,,,,,,,16232000,17472000,18967000,20394000,21286000,21553000,,23.424076,53.847818,United Arab Emirates
Afghanistan,AFG,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,33.93911,67.709953,Afghanistan
Antigua and Barbuda,ATG,"International tourism, number of arrivals",ST.INT.ARVL,447000,498000,526000,570000,560000,634000,624000,528000,623000,769000,712000,838000,935000,863000,944000,788000,848000,819000,777000,771000,894000,874000,1040000,1064000,1035000,,17.060816,-61.796428,Antigua and Barbuda
Angola,AGO,"International tourism, number of arrivals",ST.INT.ARVL,9000,21000,45000,52000,45000,51000,67000,91000,107000,194000,210000,121000,195000,294000,366000,425000,481000,528000,650000,595000,592000,397000,261000,218000,218000,,-11.202692,17.873887,Angola
Albania,ALB,"International tourism, number of arrivals",ST.INT.ARVL,304000,287000,119000,184000,371000,317000,354000,470000,557000,645000,748000,937000,1127000,1420000,1856000,2417000,2932000,3514000,3256000,3673000,4131000,4736000,5118000,5927000,6406000,,41.153332,20.168331,Albania
Armenia,ARM,"International tourism, number of arrivals",ST.INT.ARVL,12000,13000,23000,32000,41000,45000,123000,162000,206000,263000,319000,382000,511000,558000,575000,684000,758000,963000,1084000,1204000,1192000,1260000,1495000,1652000,1894000,,40.069099,45.038189,Armenia
Argentina,ARG,"International tourism, number of arrivals",ST.INT.ARVL,2289000,2614000,2764000,3012000,2898000,2909000,2620000,2820000,2995000,3457000,3823000,4173000,4562000,4700000,4308000,6800000,6703000,6497000,6510000,7165000,6816000,6668000,6711000,6942000,7399000,,-38.416097,-63.616672,Argentina
American Samoa,ASM,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,40299.99924,41299.99924,50200.00076,49299.99924,51599.99847,47099.99847,38299.99924,42299.99924,51799.99924,52700.00076,,-14.270972,-170.132217,American Samoa
Austria,AUT,"International tourism, number of arrivals",ST.INT.ARVL,17173000,17090000,16647000,17352000,17467000,17982000,18180000,18611000,19078000,19374000,19952000,20269000,20773000,21935000,21355000,22004000,23012000,24151000,24813000,25291000,26728000,28121000,29460000,30816000,31884000,,47.516231,14.550072,Austria
Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,3726000,4165000,4318000,4167000,4459000,4931000,4856000,4841000,4746000,5215000,5499000,5532000,5644000,5586000,5490000,5790000,5771000,6032000,6482000,6922000,7449000,8269000,8815000,9246000,9466000,,-25.274398,133.775136,Australia
Azerbaijan,AZE,"International tourism, number of arrivals",ST.INT.ARVL,93000,210000,306000,483000,602000,681000,767000,834000,1038000,1279000,1177000,1194000,1333000,1899000,1830000,1963000,2239000,2484000,2509000,2298000,2006000,2249000,2697000,2850000,3170000,,40.143105,47.576927,Azerbaijan
Burundi,BDI,"International tourism, number of arrivals",ST.INT.ARVL,34000,27000,11000,15000,26000,29000,36000,74000,74000,133000,148000,214000,192000,202000,212000,142000,144000,147000,234000,235000,131000,187000,299000,,,,-3.373056,29.918886,Burundi
Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",ST.INT.ARVL,,,115000,148000,147000,171000,139000,160000,165000,190000,217000,256000,306000,322000,311000,365000,392000,439000,529000,536000,678000,778000,923000,1053000,1198000,,43.915886,17.679076,Bosnia and Herzegovina
Belgium,BEL,"International tourism, number of arrivals",ST.INT.ARVL,5560000,5829000,6037000,6179000,6369000,6457000,6452000,6720000,6690000,6710000,6747000,6995000,7045000,7165000,6815000,7186000,7494000,7560000,7684000,7887000,8355000,7481000,8385000,9119000,9343000,,50.503887,4.469936,Belgium
Barbados,BRB,"International tourism, number of arrivals",ST.INT.ARVL,927000,957000,990000,1019000,947000,1078000,1035000,1021000,1090000,1273000,1111000,1102000,1191000,1165000,1154000,1197000,1187000,1053000,1079000,1079000,1179000,1227000,1345000,1356000,966000,,13.193887,-59.543198,Barbados
Benin,BEN,"International tourism, number of arrivals",ST.INT.ARVL,580000,516000,541000,575000,941000,1068000,1155000,853000,850000,845000,960000,975000,1010000,1027000,,,222000,232000,252000,265000,279000,292000,307000,322000,337000,,9.30769,2.315834,Benin
Bangladesh,BGD,"International tourism, number of arrivals",ST.INT.ARVL,156000,166000,182000,172000,173000,199000,207000,207000,245000,271000,208000,200000,289000,467000,267000,139000,157000,160000,104000,134000,126000,182000,237000,267000,323000,,23.684994,90.356331,Bangladesh
Burkina Faso,BFA,"International tourism, number of arrivals",ST.INT.ARVL,124000,131000,138000,160000,117000,126000,128000,150000,163000,222000,245000,264000,289000,272000,269000,274000,238000,237000,218000,191000,163000,152000,143000,144000,143000,,12.238333,-1.561593,Burkina Faso
Bulgaria,BGR,"International tourism, number of arrivals",ST.INT.ARVL,8005000,6811000,7543000,5240000,5056000,4922000,5104000,5563000,6241000,6982000,7282000,7499000,7726000,8533000,7873000,8374000,8713000,8867000,9192000,9409000,9317000,10604000,11596000,12368000,12552000,,42.733883,25.48583,Bulgaria
Bahrain,BHR,"International tourism, number of arrivals",ST.INT.ARVL,2311000,1988000,2600000,2898000,3280000,3869000,4388000,4831000,4844000,5667000,6313000,7289000,7833000,8631000,8861000,11952000,6732000,8062000,9163000,10452000,9670000,10158000,11374000,12045000,11061000,,25.930414,50.637772,Bahrain
Belarus,BLR,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,2030000,1852000,1907000,1729000,1816000,4738000,5276000,5283000,5262000,4872000,5674000,5877000,6130000,6242000,5375000,4386000,10935000,11060000,11502000,11832000,,53.709807,27.953389,Belarus
Bermuda,BMU,"International tourism, number of arrivals",ST.INT.ARVL,557000,570000,562000,558000,549000,539000,458000,484000,483000,478000,517000,635000,660000,550000,554000,580000,652000,610000,576000,580000,597000,642000,688000,766000,805000,,32.321384,-64.75737,Bermuda
Belize,BLZ,"International tourism, number of arrivals",ST.INT.ARVL,342000,349000,305000,300000,340000,374000,385000,694000,999000,1329000,1037000,903000,880000,846000,941000,1054000,1106000,1028000,1022000,1289000,1299000,1391000,1441000,1697000,1674000,,17.189877,-88.49765,Belize
Bolivia,BOL,"International tourism, number of arrivals",ST.INT.ARVL,284000,313000,355000,387000,342000,319000,316000,334000,427000,480000,524000,521000,573000,594000,599000,679000,711000,798000,798000,871000,882000,961000,1109000,1142000,1239000,,-16.290154,-63.588653,Bolivia
Brazil,BRA,"International tourism, number of arrivals",ST.INT.ARVL,1991000,2666000,2850000,4818000,5107000,5313000,4773000,3785000,4133000,4794000,5358000,5017000,5026000,5050000,4802000,5161000,5433000,5677000,5813000,6430000,6306000,6547000,6589000,6621000,6353000,,-14.235004,-51.92528,Brazil
Bhutan,BTN,"International tourism, number of arrivals",ST.INT.ARVL,4800.000191,5199.999809,5400.000095,6199.999809,7199.999809,7599.999905,6400.000095,5599.999905,6300.000191,9199.999809,13600.00038,17299.99924,21000,28000,23000,41000,66000,105000,116000,133000,155000,210000,255000,274000,316000,,27.514162,90.433601,Bhutan
Botswana,BWA,"International tourism, number of arrivals",ST.INT.ARVL,636000,656000,765000,940000,1039000,1306000,1451000,1485000,1592000,1727000,1684000,1642000,1965000,2344000,,,,,,,1660000,1712000,1775000,1830000,,,-22.328474,24.684866,Botswana
Central African Republic,CAF,"International tourism, number of arrivals",ST.INT.ARVL,26000,21000,17000,7500,10000,11199.99981,9899.999619,2900.000095,5699.999809,8199.999809,12000,13800.00019,17100.00038,30600.00038,52400.00153,53799.99924,65400.00153,70800.00305,83500,95699.99695,120500,82000,107000,109000,,,6.611111,20.939444,Central African Republic
Canada,CAN,"International tourism, number of arrivals",ST.INT.ARVL,41657000,43256000,45076000,48064000,49055000,48638000,47147000,44896000,38903000,38845000,36160000,33390000,30373000,27370000,24696000,25621000,25066000,25318000,25167000,25558000,27555000,30142000,31081000,31274000,32430000,,56.130366,-106.346771,Canada
Switzerland,CHE,"International tourism, number of arrivals",ST.INT.ARVL,6946000,6730000,7039000,7185000,7154000,7821000,7455000,6868000,6530000,,7229000,7863000,8448000,8608000,8294000,8628000,8534000,8566000,8967000,9158000,9305000,10402000,11133000,11715000,11818000,,46.818188,8.227512,Switzerland
Chile,CHL,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,3713000,3657000,3584000,3963000,4397000,4457000,4601000,5487000,6712000,7621000,6603000,5431000,,-35.675147,-71.542969,Chile
China,CHN,"International tourism, number of arrivals",ST.INT.ARVL,46387000,51128000,57588000,63478000,72796000,83444000,89013000,97908000,91662000,109038000,120292000,124942000,131873000,130027000,126476000,133762000,135423000,132405000,129078000,128499000,133820000,141774000,153260000,158606000,162538000,,35.86166,104.195397,China
Cameroon,CMR,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,451000,477000,487000,498000,573000,604000,817000,783000,822000,897000,994000,1081000,997000,,,7.369722,12.354722,Cameroon
Colombia,COL,"International tourism, number of arrivals",ST.INT.ARVL,1433000,751000,758000,823000,725000,707000,788000,661000,668000,840000,981000,2096000,2381000,2545000,2649000,1701000,2356000,2434000,2595000,2866000,3371000,3675000,4056000,4398000,4529000,,4.570868,-74.297333,Colombia
Comoros,COM,"International tourism, number of arrivals",ST.INT.ARVL,23000,24000,26000,27000,24000,24000,19399.99962,18899.99962,20600.00038,23299.99924,25899.99962,28500,15199.99981,14800.00019,11300.00019,15300.00019,18799.99924,22799.99924,21899.99962,22799.99924,23600.00038,26799.99924,28000,35900.00153,45099.99847,,-11.875001,43.872219,Comoros
Costa Rica,CRI,"International tourism, number of arrivals",ST.INT.ARVL,924000,940000,1013000,1167000,1267000,1278000,1320000,1335000,1514000,1771000,1959000,2071000,2302000,2409000,2309000,2495000,2526000,2542000,2641000,2760000,2899000,3204000,3231000,3313000,3366000,,9.748917,-83.753428,Costa Rica
