State,Code,State2,Population,statesselected2.ID,statesselected2.Date / Time,statesselected2.Country,statesselected2.City,statesselected2.State,statesselected2.Shape,statesselected2.Summary,statesselected2.lat,statesselected2.lng,statesselected2.Date,statesselected2.Time
California,CA,.California,39167117,3,12/20/16 22:30,USA,Santa Rosa,CA,Sphere,Bright orange planet-like object sighted near Cassiopia,38.4404675,-122.7144313,12/20/16,22:30
California,CA,.California,39167117,4,12/20/16 19:00,USA,Fresno,CA,Circle,Twelve orange globes in formation over Fresno,36.7295295,-119.7088612,12/20/16,19:00
California,CA,.California,39167117,5,12/19/16 21:50,USA,Redding,CA,Light,"Stargazing I saw a star just appear then moves slowly then gradually fade 
out",40.5863563,-122.3916753,12/19/16,21:50
California,CA,.California,39167117,6,12/17/16 21:00,USA,San Pedro,CA,Other,"Object changing colors and slowly going up into the sky. Bright and almost 
not moving at all. ((NUFORC Note: Sirius? PD))",33.7358518,-118.2922933,12/17/16,21:00
California,CA,.California,39167117,7,12/17/16 20:00,USA,San Diego,CA,Sphere,"Was standing on top of Sunset Cliffs overlooking the Pacific ocean. I 
noticed a dim red light around near where the horizon should hav",32.7174209,-117.1627713,12/17/16,20:00
California,CA,.California,39167117,8,12/17/16 19:15,USA,Ojai,CA,Oval,"Unidentified aerial object somewhat bright in the sky. ((NUFORC Note: We 
suspect a sighting of Venus. PD))",34.4480495,-119.2428889,12/17/16,19:15
California,CA,.California,39167117,23,12/17/16 00:08,USA,Fairfield,CA,Fireball,Large craft chases smaller craft,38.2493581,-122.0399662,12/17/16,00:08
California,CA,.California,39167117,30,12/14/16 09:00,USA,San Diego,CA,Oval,"Angel, protector.",32.7174209,-117.1627713,12/14/16,09:00
California,CA,.California,39167117,32,12/13/16 22:00,USA,La Jolla,CA,Light,Bright floating white light.,32.8472711,-117.2742085,12/13/16,22:00
California,CA,.California,39167117,43,12/13/16 03:37,USA,Pasadena,CA,Unknown,"Observed a pair of red light N of Pasadena no sound it was flying W then 
came to a stop went in the opposite dir. ((anonymous report))",34.1476452,-118.1444778,12/13/16,03:37
California,CA,.California,39167117,51,12/12/2016 18:30,USA,South Lake Tahoe,CA,Light,Bright pulsating light that was met up or buzzed by secondary craft.,38.929125,-119.9878464,12/12/2016,18:30
California,CA,.California,39167117,54,12/11/2016 08:56,USA,Trabuco Canyon,CA,Sphere,"Bright white light shines above mountain tops in Sounthern California 
mountains by Ontario/San Bernadino",33.6626232,-117.5893799,12/11/2016,08:56
California,CA,.California,39167117,64,12/04/2016 22:40,USA,Huntington Beach,CA,Chevron,Fast-moving craft with gray lights over suburban Huntington Beach.,33.6783336,-118.0000165,12/04/2016,22:40
